age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
50,Private,11th,Divorced,Protective-serv,Not-in-family,Female,United-States,<=50K
36,Private,10th,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
17,Private,10th,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
29,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,Male,Columbia,<=50K
29,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
39,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,>50K
21,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
62,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
61,Private,Some-college,Divorced,Exec-managerial,Not-in-family,Female,United-States,<=50K
72,Local-gov,Assoc-acdm,Divorced,Prof-specialty,Unmarried,Female,United-States,<=50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
34,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
26,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,Male,United-States,>50K
33,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
55,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
42,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,Female,United-States,<=50K
32,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,Female,United-States,<=50K
46,Federal-gov,HS-grad,Divorced,Adm-clerical,Unmarried,Male,United-States,<=50K
18,Private,HS-grad,Never-married,Exec-managerial,Other-relative,Female,United-States,<=50K
36,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
38,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
39,Private,5th-6th,Married-civ-spouse,Farming-fishing,Husband,Male,Mexico,<=50K
31,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
40,Private,HS-grad,Divorced,Craft-repair,Not-in-family,Male,United-States,<=50K
18,Private,HS-grad,Never-married,Sales,Own-child,Male,United-States,<=50K
38,Private,Some-college,Never-married,Craft-repair,Unmarried,Male,United-States,<=50K
47,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
21,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,Puerto-Rico,<=50K
33,State-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
51,Private,Masters,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
44,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
45,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
22,Private,9th,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
40,Private,5th-6th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
26,Local-gov,Assoc-voc,Never-married,Adm-clerical,Unmarried,Male,United-States,<=50K
29,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Male,United-States,<=50K
46,Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
41,Private,Some-college,Married-civ-spouse,Other-service,Wife,Female,United-States,<=50K
31,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
34,Private,Bachelors,Never-married,Sales,Not-in-family,Male,United-States,<=50K
39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,>50K
50,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
41,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
18,Private,Some-college,Never-married,Sales,Other-relative,Female,United-States,<=50K
35,Private,HS-grad,Never-married,Other-service,Own-child,Male,United-States,<=50K
22,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
18,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
50,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
52,Private,HS-grad,Divorced,Other-service,Own-child,Female,United-States,<=50K
24,Private,Bachelors,Never-married,Sales,Other-relative,Male,United-States,<=50K
31,Private,Some-college,Divorced,Prof-specialty,Not-in-family,Female,United-States,<=50K
28,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
33,Private,Assoc-acdm,Never-married,Sales,Unmarried,Male,United-States,<=50K
48,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,Female,United-States,<=50K
62,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
51,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,Cuba,>50K
39,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
51,Private,Some-college,Divorced,Priv-house-serv,Unmarried,Female,United-States,<=50K
57,Self-emp-not-inc,Assoc-acdm,Divorced,Prof-specialty,Unmarried,Male,United-States,<=50K
29,Private,HS-grad,Divorced,Other-service,Not-in-family,Female,United-States,<=50K
49,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
30,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,Germany,<=50K
53,Private,9th,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
17,Private,12th,Never-married,Other-service,Own-child,Male,United-States,<=50K
59,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
23,Private,Bachelors,Never-married,Exec-managerial,Unmarried,Male,United-States,<=50K
48,Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
64,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
37,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
54,Local-gov,HS-grad,Widowed,Transport-moving,Unmarried,Female,United-States,<=50K
41,Private,Some-college,Never-married,Other-service,Own-child,Male,United-States,<=50K
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
36,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
27,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
25,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
39,Private,Some-college,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
22,Private,11th,Never-married,Craft-repair,Other-relative,Male,United-States,<=50K
56,Private,5th-6th,Divorced,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
30,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,>50K
53,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
32,Private,1st-4th,Never-married,Exec-managerial,Own-child,Male,United-States,<=50K
60,Private,5th-6th,Divorced,Machine-op-inspct,Unmarried,Male,United-States,<=50K
35,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,>50K
58,Private,HS-grad,Divorced,Other-service,Not-in-family,Male,United-States,<=50K
53,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,Male,Canada,>50K
54,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,>50K
26,Private,9th,Never-married,Handlers-cleaners,Own-child,Male,Mexico,<=50K
27,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
59,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
70,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
26,Private,HS-grad,Never-married,Transport-moving,Unmarried,Male,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
22,Private,11th,Separated,Other-service,Unmarried,Female,United-States,<=50K
24,Private,Some-college,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
46,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
56,State-gov,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,Female,United-States,<=50K
37,Private,10th,Never-married,Other-service,Unmarried,Female,United-States,<=50K
24,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
53,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,Male,Philippines,<=50K
57,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
36,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,Mexico,<=50K
25,Private,Bachelors,Never-married,Sales,Not-in-family,Female,United-States,<=50K
29,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Female,United-States,<=50K
47,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
51,Self-emp-inc,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
23,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,Female,United-States,>50K
22,Private,Some-college,Never-married,Prof-specialty,Own-child,Female,United-States,<=50K
29,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Female,United-States,<=50K
50,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Husband,Male,United-States,>50K
23,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
21,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
38,Local-gov,Bachelors,Divorced,Prof-specialty,Own-child,Female,United-States,<=50K
30,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
42,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
52,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Male,United-States,<=50K
25,Local-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
20,Private,HS-grad,Never-married,Other-service,Other-relative,Female,United-States,<=50K
43,Private,Some-college,Divorced,Handlers-cleaners,Not-in-family,Male,United-States,<=50K
33,Private,Some-college,Never-married,Handlers-cleaners,Other-relative,Male,Mexico,<=50K
34,Private,HS-grad,Divorced,Other-service,Not-in-family,Female,United-States,<=50K
43,Private,Doctorate,Separated,Exec-managerial,Not-in-family,Female,United-States,>50K
61,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
49,Private,10th,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
23,Private,Some-college,Never-married,Other-service,Unmarried,Female,United-States,<=50K
50,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
47,State-gov,Some-college,Divorced,Tech-support,Unmarried,Female,United-States,<=50K
48,Private,HS-grad,Widowed,Craft-repair,Not-in-family,Female,United-States,>50K
37,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Male,Mexico,<=50K
23,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,Male,United-States,<=50K
66,Private,11th,Married-civ-spouse,Other-service,Husband,Male,United-States,>50K
26,Private,5th-6th,Never-married,Handlers-cleaners,Own-child,Female,Dominican-Republic,<=50K
41,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,Male,United-States,<=50K
19,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Male,United-States,<=50K
34,Private,12th,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
59,Local-gov,Some-college,Widowed,Adm-clerical,Not-in-family,Female,United-States,<=50K
24,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
47,Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,>50K
49,Private,HS-grad,Separated,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
25,Private,Bachelors,Never-married,Sales,Not-in-family,Female,United-States,<=50K
37,Private,Some-college,Divorced,Sales,Not-in-family,Male,Outlying-US(Guam-USVI-etc),<=50K
31,Private,Bachelors,Never-married,Exec-managerial,Own-child,Female,United-States,<=50K
22,Private,11th,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
23,Private,11th,Never-married,Other-service,Own-child,Female,United-States,<=50K
26,Private,Bachelors,Never-married,Exec-managerial,Own-child,Female,United-States,<=50K
41,Private,Bachelors,Never-married,Adm-clerical,Own-child,Female,Philippines,<=50K
42,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,Taiwan,>50K
64,Private,11th,Divorced,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
25,Private,Some-college,Never-married,Exec-managerial,Own-child,Female,United-States,<=50K
25,Federal-gov,Masters,Divorced,Exec-managerial,Not-in-family,Female,United-States,<=50K
41,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
45,Private,Some-college,Separated,Sales,Unmarried,Female,United-States,<=50K
36,Local-gov,HS-grad,Married-spouse-absent,Protective-serv,Not-in-family,Male,Germany,>50K
36,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
22,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
25,State-gov,Bachelors,Never-married,Prof-specialty,Own-child,Male,United-States,<=50K
47,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
34,Self-emp-not-inc,7th-8th,Divorced,Farming-fishing,Not-in-family,Male,United-States,<=50K
44,Private,Bachelors,Divorced,Other-service,Own-child,Female,United-States,<=50K
27,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
25,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,El-Salvador,<=50K
48,Private,Assoc-acdm,Married-spouse-absent,Craft-repair,Not-in-family,Male,United-States,<=50K
27,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
30,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
17,Private,10th,Never-married,Other-service,Own-child,Male,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
75,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,Female,United-States,<=50K
34,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
28,Federal-gov,Some-college,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
38,Private,11th,Never-married,Craft-repair,Unmarried,Male,United-States,<=50K
23,Private,Bachelors,Never-married,Sales,Not-in-family,Female,United-States,<=50K
40,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
37,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
18,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
22,Private,10th,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
39,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
40,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,Female,United-States,<=50K
31,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
19,Private,11th,Separated,Craft-repair,Own-child,Male,United-States,<=50K
17,Private,12th,Never-married,Other-service,Own-child,Male,United-States,<=50K
73,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
41,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
37,Private,Some-college,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
24,Private,Masters,Never-married,Adm-clerical,Own-child,Male,United-States,<=50K
34,Local-gov,Assoc-acdm,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
28,Private,Some-college,Never-married,Adm-clerical,Unmarried,Female,Japan,<=50K
19,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
42,Private,12th,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,Poland,>50K
46,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,Cuba,>50K
48,Federal-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
27,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Male,Germany,<=50K
26,Private,HS-grad,Never-married,Craft-repair,Other-relative,Male,United-States,<=50K
55,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
57,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
43,Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
24,Private,12th,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,>50K
25,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,United-States,<=50K
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
22,Private,Some-college,Never-married,Sales,Own-child,Female,United-States,<=50K
21,Private,Some-college,Never-married,Sales,Own-child,Female,South,<=50K
84,Private,HS-grad,Widowed,Priv-house-serv,Not-in-family,Female,England,<=50K
24,Private,5th-6th,Married-civ-spouse,Farming-fishing,Husband,Male,Mexico,<=50K
44,Private,Some-college,Separated,Adm-clerical,Unmarried,Female,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,>50K
20,Private,HS-grad,Never-married,Sales,Unmarried,Female,United-States,<=50K
37,Private,Some-college,Never-married,Tech-support,Unmarried,Female,United-States,>50K
30,Private,11th,Divorced,Other-service,Unmarried,Female,United-States,<=50K
19,Private,Some-college,Never-married,Sales,Own-child,Female,United-States,<=50K
51,Private,Masters,Widowed,Exec-managerial,Unmarried,Male,United-States,>50K
52,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
50,State-gov,HS-grad,Widowed,Other-service,Not-in-family,Female,United-States,<=50K
34,Local-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
53,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
39,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
49,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
52,Private,Some-college,Divorced,Other-service,Unmarried,Female,United-States,<=50K
48,State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
30,Local-gov,Bachelors,Separated,Prof-specialty,Not-in-family,Male,United-States,<=50K
44,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
35,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
46,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
42,Private,Some-college,Divorced,Craft-repair,Unmarried,Male,United-States,<=50K
29,Private,HS-grad,Never-married,Protective-serv,Own-child,Female,United-States,<=50K
25,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
18,Self-emp-inc,12th,Never-married,Farming-fishing,Own-child,Male,United-States,<=50K
19,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
19,Private,HS-grad,Never-married,Craft-repair,Own-child,Male,United-States,<=50K
80,Private,HS-grad,Widowed,Handlers-cleaners,Not-in-family,Male,United-States,<=50K
61,Private,Preschool,Separated,Transport-moving,Not-in-family,Male,United-States,>50K
46,Self-emp-not-inc,Bachelors,Separated,Other-service,Unmarried,Female,Nicaragua,<=50K
27,Private,HS-grad,Never-married,Adm-clerical,Own-child,Male,United-States,<=50K
26,Private,10th,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
50,State-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
59,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
38,Federal-gov,12th,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
28,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,Male,Mexico,<=50K
34,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
23,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
65,Local-gov,Some-college,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
35,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
65,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
39,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
35,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
33,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
32,Private,Some-college,Divorced,Craft-repair,Not-in-family,Male,United-States,<=50K
36,Private,Bachelors,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
25,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
32,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,South,<=50K
49,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,>50K
29,Private,HS-grad,Never-married,Adm-clerical,Unmarried,Female,United-States,<=50K
44,Federal-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
29,Private,Assoc-voc,Never-married,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
19,Private,Some-college,Married-civ-spouse,Adm-clerical,Other-relative,Female,United-States,<=50K
17,Private,11th,Never-married,Sales,Own-child,Female,United-States,<=50K
49,Private,HS-grad,Divorced,Sales,Not-in-family,Female,United-States,<=50K
23,Private,Bachelors,Never-married,Prof-specialty,Own-child,Male,United-States,<=50K
49,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
45,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
49,Federal-gov,Some-college,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
47,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
56,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,>50K
35,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,Male,Columbia,<=50K
80,Self-emp-not-inc,7th-8th,Married-spouse-absent,Farming-fishing,Unmarried,Male,United-States,<=50K
65,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
51,Private,Some-college,Widowed,Other-service,Unmarried,Female,United-States,<=50K
22,Private,Assoc-voc,Never-married,Sales,Own-child,Male,United-States,<=50K
33,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
44,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
20,Private,Some-college,Never-married,Sales,Other-relative,Male,United-States,<=50K
43,Private,Some-college,Separated,Other-service,Unmarried,Female,United-States,<=50K
57,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
37,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
28,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,Male,United-States,<=50K
30,Private,Bachelors,Divorced,Prof-specialty,Unmarried,Female,United-States,<=50K
32,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
59,Private,HS-grad,Married-civ-spouse,Other-service,Other-relative,Male,Nicaragua,<=50K
36,Private,12th,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
38,Private,Some-college,Divorced,Exec-managerial,Not-in-family,Female,United-States,<=50K
61,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
18,Private,HS-grad,Never-married,Sales,Not-in-family,Female,United-States,<=50K
59,Self-emp-inc,Masters,Divorced,Prof-specialty,Unmarried,Male,United-States,<=50K
18,Private,12th,Never-married,Other-service,Own-child,Female,United-States,<=50K
44,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Female,Jamaica,<=50K
23,Private,Some-college,Never-married,Adm-clerical,Own-child,Male,United-States,<=50K
44,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,Male,Greece,<=50K
49,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
59,Self-emp-not-inc,10th,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
36,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,United-States,>50K
30,Private,Bachelors,Never-married,Other-service,Own-child,Female,United-States,<=50K
27,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
69,Self-emp-not-inc,7th-8th,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
36,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
42,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
25,Private,HS-grad,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
17,Private,9th,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
40,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
40,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
17,Private,10th,Never-married,Other-service,Own-child,Male,United-States,<=50K
40,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,Male,United-States,<=50K
65,Private,HS-grad,Widowed,Priv-house-serv,Unmarried,Female,United-States,<=50K
38,Private,Bachelors,Separated,Farming-fishing,Unmarried,Female,United-States,<=50K
33,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
28,Private,Bachelors,Divorced,Tech-support,Not-in-family,Female,United-States,<=50K
22,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,Vietnam,<=50K
34,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,Male,United-States,<=50K
61,Private,Assoc-voc,Widowed,Tech-support,Unmarried,Female,United-States,<=50K
63,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
28,Private,9th,Married-civ-spouse,Other-service,Other-relative,Female,United-States,<=50K
30,Local-gov,Assoc-voc,Divorced,Adm-clerical,Own-child,Female,United-States,<=50K
36,Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
43,Self-emp-not-inc,11th,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
